"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeOfFlightLine","Classification","ScanAngleRank","UserData","PointSourceId","GpsTime"
524198.360,4778999.900,1527.820,10395.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.892
524199.340,4778999.760,1528.090,8716.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,4.000,586328.892
524200.310,4778999.630,1528.190,7877.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.892
524201.290,4778999.490,1528.420,10072.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,3.000,586328.892
524198.540,4778999.930,1527.890,9039.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.885
524199.500,4778999.790,1528.170,8974.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,10.000,586328.885
524200.560,4778999.640,1528.260,7360.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.885
524201.480,4778999.510,1528.600,7747.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,17.000,586328.885
524198.760,4778999.910,1527.920,9362.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.878
524199.660,4778999.780,1528.100,7877.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.878
524200.730,4778999.630,1528.250,7618.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.878
524201.520,4778999.520,1528.630,7812.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,19.000,586328.878
524202.560,4778999.380,1528.610,7683.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.878
524198.090,4778999.950,1527.750,8070.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.871
524199.090,4778999.810,1528.010,9168.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.871
524200.090,4778999.670,1528.180,9491.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.871
524201.130,4778999.530,1528.320,8458.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.871
524202.040,4778999.400,1528.580,9491.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,4.000,586328.871
524197.410,4778999.920,1527.650,8070.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.864
524198.390,4778999.790,1527.850,10072.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.864
524199.300,4778999.660,1528.090,8716.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,4.000,586328.864
